District,Reg Voters,AMURIAT,KABULETA,KALEMBE,KATUMBA,KYAGULANYI,NOBERT,MAYAMBALA,MUNTU,MWESIGYE,TUMUKUNDE,YOWERI,ValidVotes,InvalidVotes,TotalVotes,Received Station,,Vvotes,Ivotes
107 NAPAK,56678,354,23,26,22,912,43,110,66,34,463,32490,34543,2829,37372,"145/
145",,92.43016162,7.569838382
108 NGORA,72976,14618,320,392,105,2237,165,67,156,184,268,24662,43174,1769,44943,"121/
121",,96.06390317,3.936096834
109 BUHWEJU,66649,993,159,123,325,3602,83,34,490,94,293,41423,47619,1273,48892,"182/
182",,97.39630205,2.603697946
110 NWOYA,57186,809,327,396,192,5732,2570,126,361,450,267,13910,25140,1552,26692,"132/
132",,94.18552375,5.814476248
111 AGAGO,98354,1595,337,299,202,10559,1834,243,407,356,433,47696,63961,2572,66533,"211/
211",,96.13424917,3.86575083
112 RUBIRIZI,73848,490,178,78,224,6338,79,24,515,85,360,39686,48057,1306,49363,"136/
136",,97.3542937,2.645706298
113 KAGADI,175680,840,1129,181,265,15758,105,51,442,614,399,88830,108614,5037,113651,"404/
404",,95.56801084,4.43198916
114 KAKUMIRO,140691,305,690,89,166,10903,77,30,304,83,321,73132,86100,3347,89447,"317/
317",,96.25811933,3.741880667
115 OMORO,72216,1019,765,532,215,7169,2805,201,409,197,231,20902,34445,2557,37002,"158/
158",,93.08956273,6.910437274
116 RUBANDA,111615,1908,112,183,553,5735,104,35,635,122,517,67263,77167,1889,79056,"223/
223",,97.61055454,2.389445456
117 BUNYANGABU,92440,432,144,222,254,9816,56,33,553,108,204,44435,56257,1636,57893,"184/
184",,97.17409704,2.825902959
118 BUTEBO,51443,737,108,92,120,10890,52,12,75,91,114,23532,35823,912,36735,"119/
119",,97.51735402,2.482645978
119 KYOTERA,124872,183,46,124,131,49132,210,25,151,74,102,25598,75776,2279,78055,"219/
224",,97.08026392,2.919736084
120 NAMISINDWA,97191,791,91,122,81,12780,61,67,100,530,138,40563,55324,3351,58675,"254/
254",,94.28887942,5.711120579
121 PAKWACH,78801,1557,163,242,117,12576,261,220,205,162,312,32354,48169,0,48169,"142/
142",,100,0
122 RUKIGA,60965,1630,81,162,234,3959,34,30,390,113,328,31251,38212,1583,39795,"115/
115",,96.02211333,3.977886669
123 BUGWERI,84953,563,294,298,94,25939,79,29,153,47,122,17428,45046,2018,47064,"154/
154",,95.71222166,4.287778344
124 KAPELEBYONG,39629,6121,174,141,38,1387,68,37,77,85,119,17529,25776,1652,27428,"126/
126",,93.97695785,6.023042147
125 KASSANDA,134798,183,77,78,133,44990,142,23,178,112,193,37265,83374,3490,86864,"300/
300",,95.98222509,4.017774913
126 KIKUUBE,112825,360,2210,133,124,10771,72,22,271,115,272,49490,63840,3246,67086,"204/
204",,95.16143458,4.838565423
127 KWANIA,87587,992,393,319,238,13041,318,148,368,322,679,36364,53182,2820,56002,"160/
160",,94.96446555,5.035534445
128 NABILATUK,21367,15,3,3,3,272,7,6,2,8,38,16038,16395,536,16931,"58/
58",,96.83420944,3.165790562
129 KALAKI,53973,4794,195,193,81,3839,136,287,121,73,140,24556,34415,1563,35978,"103/
103",,95.65567847,4.34432153
130 KARENGA,18035,107,75,37,32,751,49,54,30,25,178,12819,14157,673,14830,"53/
53",,95.46190155,4.538098449
131 KAZO,92843,157,24,20,53,879,13,2,231,20,61,73043,74503,1078,75581,"206/
206",,98.57371562,1.426284384
132 KITAGWENDA,76037,459,67,178,113,4488,54,19,617,87,171,40417,46670,1191,47861,"168/
168",,97.51154385,2.488456154
133 MADI OKOLLO,63404,722,384,348,273,7611,241,116,534,178,898,25779,37084,2414,39498,"121/
121",,93.88829814,6.111701858
134 OBONGI,19321,1102,121,39,37,2769,56,7,53,53,86,7676,11999,884,12883,"44/
44",,93.1382442,6.861755802
135 RWAMPARA,70346,679,50,84,215,3710,37,17,539,39,102,35981,41453,747,42200,"157/
157",,98.22985782,1.77014218
136 ARUA CITY,170066,1107,705,522,348,28493,772,151,563,233,863,39566,73323,4645,77968,"289/
289",,94.04242766,5.957572337
137 GULU CITY,103401,2159,209,231,163,7290,7811,47,163,139,149,14603,32964,1952,34916,"188/
188",,94.4094398,5.590560202
138 JINJA CITY,154750,1512,133,694,221,43920,173,36,276,43,85,21202,68295,2750,71045,"256/
259",,96.12921388,3.870786121
139 FORT PORTAL CITY,65163,443,208,156,316,8440,45,15,828,52,96,25753,36352,1424,37776,"122/
122",,96.23041084,3.769589157
140 MBARARA CITY,114511,1428,116,114,513,12662,65,34,1581,53,386,36466,53418,1656,55074,"195/
195",,96.99313651,3.006863493
141 MASAKA CITY,122339,212,25,43,131,53444,204,10,105,36,46,14992,69248,1543,70791,"188/
188",,97.82034439,2.179655606
142 MBALE CITY,147774,2037,117,249,239,42267,173,48,147,193,182,29717,75369,3128,78497,"276/
276",,96.01513434,3.984865664
143 TEREGO,95118,1344,580,484,965,16720,705,243,1329,458,814,24718,48360,4497,52857,"170/
170",,91.49213917,8.507860832
144 LIRA CITY,111772,1523,453,496,326,17495,578,108,359,219,386,30271,52214,2140,54354,"183/
183",,96.06284726,3.937152739
145 HOIMA CITY,62018,292,2285,69,109,11662,51,14,261,32,83,19751,34609,1450,36059,"112/
112",,95.9788125,4.021187498
146 SOROTI CITY,56019,13200,158,123,79,3984,95,94,115,44,452,12031,30375,1252,31627,"99/
99",,96.04135707,3.958642932
